Antonia Maury
Nergis Mavalvala
Maria Mitchell
Charlotte Moore Sitterly
Edith Alice Müller
Jean Mueller
Kathleen Ollerenshaw
C. Michelle Olmstead
Liisi Oterma
Mazlan Othman
Feryal Özel
Ludmila Pajdušáková
Cecilia Payne-Gaposchkin
Ruby Payne-Scott
Hiranya Peiris
Elisabetta Pierazzo
Louise du Pierry
Paris Pişmiş
Carolyn Porco
Mary Proctor
Marcia J. Rieke
Claudine Rinner
Elizabeth Roemer
Nancy Roman
Vera Rubin
Maria Teresa Ruiz
Jewgenija Leonidowna Ruskol
Caterina Scarpellini
Pelageja Fjodorowna Schain
Anneliese Schnell
Rita Schulz
Ljudmyla Schurawlowa
Elizabeth Scott
Sara Seager
Waltraut Seitter
Martha Betz Shapley
Brigitta Sipőcz
Tracy Slatyer
Tamara Michailowna Smirnowa
Mary Somerville
Rachel Somerville
Carolyn Shoemaker
Jean Swank
Henrietta Hill Swope
Paula Szkody
Jill Cornell Tarter
Janet Taylor
Fiorella Terenzi
Alenoush Terian
Michelle Thaller
Jana Tichá
Giovanna Tinetti
Beatrice Tinsley
Maura Tombelli
Silvia Torres-Peimbert
Virginia Trimble
Ljudmila Iwanowna Tschernych
Sachiko Tsuruta
Margaret Turnbull
C. Megan Urry
Zdeňka Vávrová
Elisabeth Vreede
Emma Vyssotsky
Maria Wähnl
Gisela Weiss
Mary Watson Whitney
Elizabeth Langdon Williams
Fiammetta Wilson
Jennifer J. Wiseman
Gudrun Wolfschmidt
Sofja Wassiljewna Woroschilowa-Romanskaja
Rosemary Wyse
Wang Zhenyi
Ellen Gould Zweibel
Maria Kunitz
Maria Sibylla Merian
Maria Winkelmann
Sophie von der Pfalz
Dorothea Christiane Erxleben
Laura Bassi
Maria Gaetana Agnesi
Margaret Cavendish
Theano
Aspasia
Hipparchia
Leontion
Diotima
Hypatia von Alexandria
Hildegard von Bingen
Mechthild von Magdeburg
Marguerite Porete
Christine de Pizan
Moderata Fonte
Marie de Gournay
Lucretia Marinella
Elisabeth von der Pfalz (1618–1680)
Margaret Cavendish
Sophie von der Pfalz
Anne Conway
Elena Lucrezia Cornaro Piscopia
Émilie du Châtelet
Laura Bassi
Isabelle de Charrière
Olympe de Gouges
Mary Wollstonecraft
Marianna Bacinetti Florenzi Waddington
Victoria Welby
Bertha von Suttner
Helene von Druskowitz
Jane Addams
Lou Andreas-Salomé
